Date/Time,4/13/2021,14:43:14,BEAM_PROFILE_Y
Distance (μm),Intensity (cnts),,
3044.25,83,,
3047.94,82,,
3051.63,70,,
3055.32,82,,
3059.01,80,,
3062.7,82,,
3066.39,80,,
3070.08,75,,
3073.77,79,,
3077.46,80,,
3081.15,85,,
3084.84,80,,
3088.53,78,,
3092.22,82,,
3095.91,88,,
3099.6,81,,
3103.29,81,,
3106.98,73,,
3110.67,79,,
3114.36,74,,
3118.05,81,,
3121.74,79,,
3125.43,80,,
3129.12,76,,
3132.81,83,,
3136.5,85,,
3140.19,77,,
3143.88,77,,
3147.57,79,,
3151.26,79,,
3154.95,75,,
3158.64,81,,
3162.33,81,,
3166.02,79,,
3169.71,74,,
3173.4,79,,
3177.09,73,,
3180.78,81,,
3184.47,75,,
3188.16,77,,
3191.85,79,,
3195.54,82,,
3199.23,83,,
3202.92,87,,
3206.61,81,,
3210.3,77,,
3213.99,71,,
3217.68,80,,
3221.37,78,,
3225.06,80,,
3228.75,76,,
3232.44,74,,
3236.13,78,,
3239.82,83,,
3243.51,81,,
3247.2,75,,
3250.89,76,,
3254.58,79,,
3258.27,81,,
3261.96,77,,
3265.65,76,,
3269.34,81,,
3273.03,87,,
3276.72,81,,
3280.41,75,,
3284.1,91,,
3287.79,82,,
3291.48,82,,
3295.17,74,,
3298.86,75,,
3302.55,83,,
3306.24,69,,
3309.93,81,,
3313.62,89,,
3317.31,80,,
3321,79,,
3324.69,79,,
3328.38,78,,
3332.07,85,,
3335.76,78,,
3339.45,85,,
3343.14,82,,
3346.83,79,,
3350.52,81,,
3354.21,78,,
3357.9,82,,
3361.59,77,,
3365.28,85,,
3368.97,76,,
3372.66,80,,
3376.35,69,,
3380.04,78,,
3383.73,76,,
3387.42,77,,
3391.11,84,,
3394.8,83,,
3398.49,82,,
3402.18,78,,
3405.87,82,,
3409.56,80,,
3413.25,80,,
3416.94,82,,
3420.63,80,,
3424.32,78,,
3428.01,83,,
3431.7,80,,
3435.39,83,,
3439.08,78,,
3442.77,77,,
3446.46,85,,
3450.15,85,,
3453.84,79,,
3457.53,82,,
3461.22,86,,
3464.91,82,,
3468.6,81,,
3472.29,76,,
3475.98,83,,
3479.67,71,,
3483.36,83,,
3487.05,80,,
3490.74,82,,
3494.43,75,,
3498.12,84,,
3501.81,78,,
3505.5,85,,
3509.19,82,,
3512.88,84,,
3516.57,82,,
3520.26,84,,
3523.95,81,,
3527.64,79,,
3531.33,79,,
3535.02,80,,
3538.71,89,,
3542.4,81,,
3546.09,84,,
3549.78,74,,
3553.47,74,,
3557.16,82,,
3560.85,85,,
3564.54,81,,
3568.23,83,,
3571.92,82,,
3575.61,83,,
3579.3,85,,
3582.99,82,,
3586.68,75,,
3590.37,74,,
3594.06,81,,
3597.75,80,,
3601.44,80,,
3605.13,79,,
3608.82,79,,
3612.51,84,,
3616.2,87,,
3619.89,87,,
3623.58,82,,
3627.27,89,,
3630.96,83,,
3634.65,78,,
3638.34,78,,
3642.03,82,,
3645.72,94,,
3649.41,94,,
3653.1,81,,
3656.79,83,,
3660.48,87,,
3664.17,79,,
3667.86,86,,
3671.55,89,,
3675.24,95,,
3678.93,80,,
3682.62,79,,
3686.31,83,,
3690,94,,
3693.69,92,,
3697.38,92,,
3701.07,82,,
3704.76,80,,
3708.45,102,,
3712.14,116,,
3715.83,122,,
3719.52,107,,
3723.21,89,,
3726.9,88,,
3730.59,105,,
3734.28,149,,
3737.97,160,,
3741.66,130,,
3745.35,105,,
3749.04,128,,
3752.73,300,,
3756.42,629,,
3760.11,1061,,
3763.8,1503,,
3767.49,1674,,
3771.18,1649,,
3774.87,1426,,
3778.56,959,,
3782.25,521,,
3785.94,255,,
3789.63,112,,
3793.32,97,,
3797.01,131,,
3800.7,155,,
3804.39,153,,
3808.08,113,,
3811.77,81,,
3815.46,86,,
3819.15,94,,
3822.84,98,,
3826.53,100,,
3830.22,84,,
3833.91,85,,
3837.6,79,,
3841.29,88,,
3844.98,84,,
3848.67,86,,
3852.36,84,,
3856.05,85,,
3859.74,71,,
3863.43,76,,
3867.12,91,,
3870.81,86,,
3874.5,84,,
3878.19,79,,
3881.88,85,,
3885.57,82,,
3889.26,76,,
3892.95,90,,
3896.64,75,,
3900.33,81,,
3904.02,80,,
3907.71,79,,
3911.4,81,,
3915.09,79,,
3918.78,85,,
3922.47,80,,
3926.16,76,,
3929.85,81,,
3933.54,88,,
3937.23,85,,
3940.92,82,,
3944.61,82,,
3948.3,81,,
3951.99,83,,
3955.68,80,,
3959.37,81,,
3963.06,84,,
3966.75,81,,
3970.44,78,,
3974.13,79,,
3977.82,83,,
3981.51,80,,
3985.2,83,,
3988.89,75,,
3992.58,81,,
3996.27,80,,
3999.96,84,,
4003.65,78,,
4007.34,81,,
4011.03,83,,
4014.72,79,,
4018.41,79,,
4022.1,81,,
4025.79,77,,
4029.48,75,,
4033.17,80,,
4036.86,77,,
4040.55,85,,
4044.24,80,,
4047.93,75,,
4051.62,78,,
4055.31,79,,
4059,74,,
4062.69,75,,
4066.38,81,,
4070.07,79,,
4073.76,72,,
4077.45,80,,
4081.14,77,,
4084.83,84,,
4088.52,81,,
4092.21,75,,
4095.9,84,,
4099.59,79,,
4103.28,80,,
4106.97,80,,
4110.66,74,,
4114.35,82,,
4118.04,83,,
4121.73,78,,
4125.42,80,,
4129.11,82,,
4132.8,79,,
4136.49,84,,
4140.18,71,,
4143.87,82,,
4147.56,86,,
4151.25,73,,
4154.94,76,,
4158.63,79,,
4162.32,77,,
4166.01,79,,
4169.7,79,,
4173.39,78,,
4177.08,75,,
4180.77,84,,
4184.46,79,,
4188.15,75,,
4191.84,84,,
4195.53,76,,
4199.22,87,,
4202.91,81,,
4206.6,81,,
4210.29,80,,
4213.98,75,,
4217.67,81,,
4221.36,82,,
4225.05,83,,
4228.74,81,,
4232.43,76,,
4236.12,77,,
4239.81,79,,
4243.5,80,,
4247.19,75,,
4250.88,78,,
4254.57,80,,
4258.26,83,,
4261.95,71,,
4265.64,81,,
4269.33,83,,
4273.02,76,,
4276.71,77,,
4280.4,77,,
4284.09,80,,
4287.78,82,,
4291.47,81,,
4295.16,79,,
4298.85,78,,
4302.54,79,,
4306.23,77,,
4309.92,82,,
4313.61,81,,
4317.3,73,,
4320.99,82,,
4324.68,78,,
4328.37,81,,
4332.06,74,,
4335.75,82,,
4339.44,73,,
4343.13,74,,
4346.82,79,,
4350.51,78,,
4354.2,81,,
4357.89,78,,
4361.58,79,,
4365.27,80,,
4368.96,88,,
4372.65,81,,
4376.34,79,,
4380.03,81,,
4383.72,82,,
4387.41,77,,
4391.1,83,,
4394.79,78,,
4398.48,78,,
4402.17,71,,
4405.86,77,,
4409.55,79,,
4413.24,75,,
4416.93,77,,
4420.62,80,,
4424.31,78,,
4428,74,,
4431.69,81,,
4435.38,74,,
4439.07,82,,
4442.76,72,,
4446.45,73,,
4450.14,75,,
4453.83,76,,
4457.52,74,,
4461.21,81,,
4464.9,77,,
4468.59,75,,
